Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah),Price Crude Oil,Change % Crude Oil,Price Natural Gas,Change % Natural Gas,Price Newcastle Coal,Change % Newcastle Coal,Price Palm Oil,Change % Palm Oil,Price US Sugar,Change % US Sugar,Price US Wheat,Change % US Wheat
29/05/2022,39110,27310,10710,11730,40390,,31260,150760,14910,15280,22410,24650,9950,115.61,3.01%,8.815,1.18%,,,,,,,,
30/05/2022,42680,27690,10740,11750,43420,,31010,151230,14910,15500,22180,24880,9950,117.61,1.73%,8.686,-1.46%,401,-1.39%,"6,710.00",-2.46%,,,"1,155.38",-0.18%
31/05/2022,43380,27260,10710,11650,46420,,30870,151750,14950,15310,22240,24880,9990,111.91,-4.85%,8.138,-6.31%,427,6.48%,"6,607.00",-1.54%,19.4,-1.07%,"1,087.50",-5.88%
01/06/2022,42970,27840,10780,11750,46200,,31120,151380,14900,15300,22530,25190,9990,112.72,0.72%,8.686,6.73%,412,-3.51%,"6,646.00",0.59%,19.44,0.21%,"1,041.25",-4.25%
02/06/2022,43160,27770,10820,11730,48190,,30830,151850,14950,15230,22150,25000,9950,114.3,1.40%,8.474,-2.44%,412.5,0.12%,"6,748.00",1.53%,19.35,-0.46%,"1,058.25",1.63%
03/06/2022,42360,27270,10740,11740,47990,,30880,151850,14910,15590,21740,24850,9950,116.23,1.69%,8.51,0.42%,412.5,0.00%,"6,704.00",-0.65%,19.29,-0.31%,"1,040.00",-1.72%
04/06/2022,43420,27600,10720,11730,51010,45000,30990,151300,14950,15410,22500,25130,9950,,,,,,,,,,,,
05/06/2022,42630,27860,10700,11800,51050,,30930,150910,14950,15950,21980,24790,9830,,,,,,,,,,,,
06/06/2022,44520,27930,10700,11730,52760,,31090,151300,14950,15540,22580,25110,9950,116.06,-0.15%,9.306,9.35%,415.25,0.67%,,,19.56,1.40%,"1,093.00",5.10%
07/06/2022,45500,27420,10710,11730,54730,,30940,151300,14950,15590,22580,25110,9950,117.1,0.90%,9.278,-0.30%,397,-4.39%,"6,760.00",0.84%,18.97,-3.02%,"1,071.75",-1.94%
08/06/2022,46670,27290,10640,11690,55330,,30960,151750,14950,15830,22370,24820,10030,119.78,2.29%,8.679,-6.46%,395.4,-0.40%,"6,740.00",-0.30%,18.98,0.05%,"1,074.75",0.28%
09/06/2022,49930,27840,10580,11790,57850,,31600,150330,14980,15590,22470,25360,9980,119.09,-0.58%,8.978,3.45%,396,0.15%,"6,590.00",-2.23%,19.29,1.63%,"1,071.25",-0.33%
10/06/2022,,,,,,,,,,,,,,118.12,-0.81%,8.867,-1.24%,392.35,-0.92%,"6,281.00",-4.69%,18.87,-2.18%,"1,070.75",-0.05%
11/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,
13/06/2022,,,,,,,,,,,,,,118.25,0.11%,8.619,-2.80%,390.35,-0.51%,"6,130.00",-2.40%,18.71,-0.85%,"1,071.00",0.02%
14/06/2022,,,,,,,,,,,,,,116.26,-1.68%,7.18,-16.70%,383.5,-1.75%,"6,154.00",0.39%,18.7,-0.05%,"1,050.25",-1.94%
15/06/2022,,,,,,,,,,,,,,113.09,-2.73%,7.406,3.15%,386.35,0.74%,"6,000.00",-2.50%,18.46,-1.28%,"1,050.00",-0.02%
16/06/2022,,,,,,,,,,,,,,115.25,1.91%,7.438,0.43%,387.35,0.26%,"5,683.00",-5.28%,18.58,0.65%,"1,078.25",2.69%
17/06/2022,,,,,,,,,,,,,,107.99,-6.30%,6.906,-7.15%,389.35,0.52%,"5,679.00",-0.07%,18.6,0.11%,"1,034.25",-4.08%
18/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2022,,,,,,,,,,,,,,108.94,0.88%,6.702,-2.95%,,,,,,,,
20/06/2022,,,,,,,,,,,,,,108.84,-0.09%,6.713,0.16%,392.75,0.87%,"5,261.00",-7.36%,,,,
21/06/2022,,,,,,,,,,,,,,109.52,0.62%,6.783,1.04%,390,-0.70%,"5,210.00",-0.97%,18.66,0.32%,975.25,-5.70%
22/06/2022,,,,,,,,,,,,,,103.99,-5.05%,6.872,1.31%,392,0.51%,"4,688.00",-10.02%,18.45,-1.13%,976.5,0.13%
23/06/2022,,,,,,,,,,,,,,101.58,-2.32%,6.283,-8.57%,397.5,1.40%,"4,870.00",3.88%,18.38,-0.38%,937.25,-4.02%
24/06/2022,,,,,,,,,,,,,,104.45,2.83%,6.281,-0.03%,397,-0.13%,"4,798.00",-1.48%,18.37,-0.05%,923.75,-1.44%
25/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2022,,,,,,,,,,,,,,106.38,1.85%,6.546,4.22%,392.45,-1.15%,"5,049.00",5.23%,18.3,-0.38%,904,-2.14%
28/06/2022,,,,,,,,,,,,,,108.89,2.36%,6.57,0.37%,393.5,0.27%,"5,159.00",2.18%,18.53,1.26%,921.25,1.91%
29/06/2022,,,,,,,,,,,,,,107.01,-1.73%,6.493,-1.17%,380,-3.43%,"5,069.00",-1.74%,18.55,0.11%,915.5,-0.62%
30/06/2022,,,,,,,,,,,,,,103.1,-3.65%,5.392,-16.96%,385.95,1.57%,"5,088.00",0.37%,18.83,1.51%,868.75,-5.11%
01/07/2022,,,,,,,,,,,,,,105.39,2.22%,5.712,5.93%,388,0.53%,"4,886.00",-3.97%,18.07,-4.04%,831.25,-4.32%
02/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,
03/07/2022,,,,,,,,,,,,,,108.19,2.66%,5.709,-0.05%,,,,,,,,
04/07/2022,,,,,,,,,,,,,,110.4,2.04%,5.853,2.52%,396.45,2.18%,"4,460.00",-8.72%,,,,
05/07/2022,,,,,,,,,,,,,,96.52,-12.57%,5.487,-6.25%,397.6,0.29%,"4,199.00",-5.85%,17.8,-1.49%,793.75,-4.51%
06/07/2022,,,,,,,,,,,,,,94.98,-1.60%,5.482,-0.09%,399.7,0.53%,"4,073.00",-3.00%,17.99,1.07%,792.25,-0.19%
07/07/2022,,,,,,,,,,,,,,99.25,4.50%,6.262,14.23%,410,2.58%,"4,129.00",1.37%,18.52,2.95%,824.5,4.07%
08/07/2022,,,,,,,,,,,,,,101.53,2.30%,5.967,-4.71%,413.75,0.91%,"4,137.00",0.19%,19.02,2.70%,879.25,6.64%
09/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2022,,,,,,,,,,,,,,101.21,-0.32%,6.319,5.90%,419,1.27%,,,18.86,-0.84%,843.75,-4.04%
12/07/2022,,,,,,,,,,,,,,93.31,-7.81%,6.021,-4.72%,426,1.67%,"4,121.00",-0.39%,18.69,-0.90%,801.5,-5.01%
13/07/2022,,,,,,,,,,,,,,93.83,0.56%,6.589,9.43%,430,0.94%,"3,850.00",-6.58%,19.14,2.41%,798.25,-0.41%
14/07/2022,57580,25860,10680,11780,95520,,31280,147440,14720,13370,22170,24240,10390,92.83,-1.07%,6.511,-1.18%,416.35,-3.17%,"3,643.00",-5.38%,18.97,-0.89%,794.25,-0.50%
15/07/2022,57280,25760,10730,11750,90600,,30430,149500,14670,13590,21980,24500,10390,94.57,1.87%,6.926,6.37%,406.55,-2.35%,"3,632.00",-0.30%,19.25,1.48%,776.75,-2.20%
16/07/2022,55800,25580,10710,11740,88060,,30280,148870,14620,13570,22240,24500,10370,,,,,,,,,,,,
17/07/2022,55630,25590,10720,11750,86220,,30030,149530,14630,13430,21960,24340,10400,,,,,,,,,,,,
18/07/2022,55860,24780,10690,11750,86820,,30090,150570,14500,13740,21720,24520,10400,99.42,5.13%,7.382,6.58%,396.05,-2.58%,"3,887.00",7.02%,19.41,0.83%,812.75,4.63%
19/07/2022,55650,24380,10750,11740,89680,,29920,150570,14590,13740,21720,24570,10400,100.74,1.33%,7.15,-3.14%,399.65,0.91%,"3,799.00",-2.26%,18.84,-2.94%,812.25,-0.06%
20/07/2022,55480,24490,10670,11720,91310,,29740,150040,14620,13270,21560,24570,10420,99.88,-0.85%,7.899,10.48%,408.6,2.24%,"3,913.00",3.00%,18.67,-0.90%,819.5,0.89%
21/07/2022,53890,24370,10700,11760,95090,,30060,149350,14610,13460,21230,24560,10420,93.78,-6.11%,7.815,-1.06%,403.4,-1.27%,"3,707.00",-5.26%,18.35,-1.71%,806.25,-1.62%
22/07/2022,52740,24430,10750,11740,97450,,29630,151110,14590,13250,21180,24630,10420,92.43,-1.44%,8.195,4.86%,409.2,1.44%,"3,727.00",0.54%,17.89,-2.51%,759,-5.86%
23/07/2022,53190,24430,10760,11740,95310,,29850,150570,14630,13300,20740,24430,10420,,,,,,,,,,,,
24/07/2022,52360,24490,10740,11730,94990,,29850,150570,14620,13130,21260,24550,10430,,,,,,,,,,,,
25/07/2022,50890,24950,10730,11700,92110,,29690,151060,14550,13090,20880,24370,10460,94.42,2.15%,8.571,4.59%,410.25,0.26%,"3,706.00",-0.56%,17.47,-2.35%,770,1.45%
26/07/2022,49400,24610,10770,11780,92960,,29550,151620,14550,13040,21040,24270,10460,92.88,-1.63%,8.825,2.96%,414,0.91%,"3,860.00",4.16%,17.47,0.00%,803.75,4.38%
27/07/2022,48280,24390,10770,11780,91740,,29710,151080,14500,12980,20930,24540,10660,95.29,2.59%,8.554,-3.07%,411.5,-0.60%,"3,907.00",1.22%,17.4,-0.40%,790.25,-1.68%
28/07/2022,47180,24050,10770,11740,91080,,29290,151080,14500,13150,20170,24440,10510,94.65,-0.67%,8.118,-5.10%,411.4,-0.02%,"4,030.00",3.15%,17.72,1.84%,817,3.39%
29/07/2022,45930,23760,10790,11800,91280,,29590,152600,14460,12860,20460,24290,10580,96.75,2.22%,8.208,1.11%,407.9,-0.85%,"4,355.00",8.06%,17.54,-1.02%,807.75,-1.13%
30/07/2022,46420,24090,10790,11780,90590,,29530,152600,14500,12940,20910,24330,10460,,,,,,,,,,,,
31/07/2022,45740,24060,10790,11780,91660,,29480,152950,14460,12940,20910,24630,10470,,,,,,,,,,,,
01/08/2022,44190,24180,10740,11790,89320,,29530,153300,14530,12850,20870,24570,10580,92.39,-4.51%,8.26,0.63%,405,-0.71%,"4,093.00",-6.02%,17.6,0.34%,800.25,-0.93%
02/08/2022,42350,23980,10680,11740,92330,,29070,153210,14460,12800,21280,24520,10510,93.22,0.90%,7.698,-6.80%,403.5,-0.37%,"3,943.00",-3.66%,17.69,0.51%,774.75,-3.19%
03/08/2022,,,,,,,,,,,,,,89.74,-3.73%,8.262,7.33%,393.5,-2.48%,"3,985.00",1.07%,17.77,0.45%,763.75,-1.42%
04/08/2022,42150,24190,10760,11790,95810,,29090,153400,14460,12980,21000,24600,10510,87.56,-2.43%,8.114,-1.79%,385,-2.16%,"3,940.00",-1.13%,17.55,-1.24%,782.5,2.45%
05/08/2022,40620,24280,10760,11790,95160,,29030,153400,14460,12980,20960,24520,10510,88.08,0.59%,8.051,-0.78%,361,-6.23%,"4,020.00",2.03%,17.94,2.22%,775.75,-0.86%
06/08/2022,40460,24320,10760,11790,94320,,28980,153400,14460,12930,20960,24580,10510,,,,,,,,,,,,
07/08/2022,39390,24010,10760,11790,89690,,28530,153220,14460,12760,20880,24390,10470,,,,,,,,,,,,
08/08/2022,38090,24300,10740,11790,92440,,29100,153060,14460,12790,20960,24320,10510,89.93,2.10%,7.578,-5.88%,371,2.77%,"4,135.00",2.86%,17.96,0.11%,779.75,0.52%
09/08/2022,37360,24330,10800,11830,92520,,29010,152730,14460,12630,20890,24380,10510,89.67,-0.29%,7.825,3.26%,384.5,3.64%,"4,170.00",0.85%,17.98,0.11%,781.5,0.22%
10/08/2022,36850,24340,10800,11830,92000,,29050,153220,14460,12650,20850,24380,10470,91.2,1.71%,8.193,4.70%,398.65,3.68%,"4,191.00",0.50%,18.28,1.67%,799.75,2.34%
11/08/2022,35990,24340,10830,11850,89680,,28670,152730,14420,12620,20850,24530,10510,93.53,2.55%,8.863,8.18%,401,0.59%,"4,300.00",2.60%,18.49,1.15%,810.75,1.38%
12/08/2022,35870,24380,10810,11860,88560,,28640,152990,14500,12550,20930,24610,10530,91.46,-2.21%,8.744,-1.34%,407.65,1.66%,"4,432.00",3.07%,18.6,0.59%,806,-0.59%
13/08/2022,34870,24260,10830,11850,84170,,28770,152990,14500,12570,20840,24570,10590,,,,,,,,,,,,
14/08/2022,34210,24350,10900,11910,82300,,28930,153090,14540,12580,20840,24640,10670,,,,,,,,,,,,
15/08/2022,33430,23790,10830,11890,75640,,28760,153330,14500,12700,20750,24920,10660,88.85,-2.85%,8.712,-0.37%,407.5,-0.04%,"4,331.00",-2.28%,18.54,-0.32%,800.75,-0.65%
16/08/2022,33720,23630,10860,11930,74400,,28900,152990,14540,12740,20800,24980,10610,86.16,-3.03%,9.311,6.88%,405,-0.61%,"4,156.00",-4.04%,18.27,-1.46%,786,-1.84%
17/08/2022,32760,23920,10890,11850,71550,,29110,152990,14620,12860,20680,25310,10640,87.69,1.78%,9.228,-0.89%,413.9,2.20%,"4,166.00",0.24%,18.24,-0.16%,763.25,-2.89%
18/08/2022,32560,23600,10910,11890,68410,,28970,152990,14540,12860,20420,25510,10630,90.11,2.76%,9.17,-0.63%,413.9,0.00%,"4,059.00",-2.57%,17.77,-2.58%,731.5,-4.16%
19/08/2022,32720,23790,10910,11890,67900,,29010,152990,14500,13150,20370,25510,10670,90.44,0.37%,9.315,1.58%,416.25,0.57%,"4,090.00",0.76%,18.09,1.80%,753.25,2.97%
20/08/2022,32430,23720,10880,11890,69510,,29110,152990,14540,12900,20370,25730,10630,,,,,,,,,,,,
21/08/2022,31260,23660,10860,11920,73940,,29320,152470,14520,12890,20580,26090,10650,,,,,,,,,,,,
22/08/2022,31970,23280,10910,11920,75180,,29260,152470,14590,13080,20360,26030,10670,90.36,-0.09%,9.647,3.56%,418.35,0.50%,"4,163.00",1.78%,17.94,-0.83%,770.5,2.29%
23/08/2022,32250,23370,10840,11900,75320,,29350,152060,14570,13010,20430,26240,10610,93.25,3.20%,9.155,-5.10%,417.6,-0.18%,"4,227.00",1.54%,17.89,-0.28%,782.75,1.59%
24/08/2022,31210,23530,10990,12030,79600,,29570,152990,14550,13000,20280,26380,10710,94.4,1.23%,9.3,1.58%,412.6,-1.20%,"4,290.00",1.49%,18.04,0.84%,795,1.56%
25/08/2022,30910,23620,11010,12040,82140,,29700,152470,14540,13090,20280,26380,10660,92.19,-2.34%,9.344,0.47%,417.5,1.19%,"4,239.00",-1.19%,17.9,-0.78%,769.75,-3.18%
26/08/2022,30560,23820,11010,12040,84300,,29980,152470,14540,13060,20460,26380,10620,92.39,0.22%,9.269,-0.80%,417.4,-0.02%,"4,149.00",-2.12%,18.47,3.18%,784.75,1.95%
27/08/2022,30870,24020,10990,12020,86300,,29760,152470,14540,13100,20050,26580,10620,,,,,,,,,,,,
28/08/2022,30260,23640,11000,12040,90690,,29750,152840,14540,13040,20280,26510,10670,,,,,,,,,,,,
29/08/2022,30680,23240,11030,12060,91180,,30000,153090,14540,13010,20230,26530,10670,96.19,4.11%,9.336,0.72%,422.75,1.28%,"4,077.00",-1.74%,18.44,-0.16%,820,4.49%
30/08/2022,29950,23240,11050,12080,91690,,29740,152210,14540,13100,20190,26540,10620,91.17,-5.22%,9.103,-2.50%,414.55,-1.94%,"4,003.00",-1.82%,18.1,-1.84%,798.25,-2.65%
31/08/2022,29260,23530,11070,12080,91260,,29950,152210,14500,13050,20430,26550,10670,89.03,-2.35%,9.189,0.94%,425,2.52%,,,17.89,-1.16%,809,1.35%
01/09/2022,29000,23340,11090,12080,91200,,29520,152470,14460,13040,20470,26590,10710,86.22,-3.16%,9.33,1.53%,427.35,0.55%,"3,860.00",-3.57%,17.99,0.56%,775.5,-4.14%
02/09/2022,28950,23690,11050,12060,92630,,29520,151470,14500,13090,20120,26620,10790,86.48,0.30%,8.85,-5.14%,435,1.79%,"3,830.00",-0.78%,18.15,0.89%,793,2.26%
03/09/2022,28890,23520,11050,12050,93470,,28700,151280,14430,12980,20460,26460,10840,,,,,,,,,,,,
04/09/2022,29190,23790,11090,12120,96650,,29510,151890,14420,13070,20480,26590,10920,88.25,2.05%,8.979,1.46%,,,,,,,808,1.89%
05/09/2022,28800,23290,11080,12120,98450,,29020,150810,14550,13020,20370,26590,10920,88.96,0.80%,8.714,-2.95%,457.8,5.24%,"3,822.00",-0.21%,,,812.25,0.53%
06/09/2022,28970,23410,11120,12180,98790,,28920,152240,14470,13010,20360,26340,10860,86.51,-2.75%,8.212,-5.76%,450.25,-1.65%,"3,705.00",-3.06%,17.98,-0.94%,800,-1.51%
07/09/2022,29370,23590,11120,12150,98980,,28970,152240,14470,13010,20360,26340,10990,81.63,-5.64%,7.901,-3.79%,439,-2.50%,"3,600.00",-2.83%,18.05,0.39%,826.5,3.31%
08/09/2022,29450,23800,11120,12150,97560,,29080,151470,14470,13040,20550,25840,10990,83.07,1.76%,7.971,0.89%,440.35,0.31%,"3,438.00",-4.50%,17.93,-0.66%,810.5,-1.94%
09/09/2022,30010,23980,11070,12080,93320,,29150,151980,14480,13020,20560,25670,10990,86.36,3.96%,8.044,0.92%,435.25,-1.16%,"3,500.00",1.80%,18.22,1.62%,853.25,5.27%
10/09/2022,30170,24050,11050,12080,90490,,28680,152240,14480,12990,20560,25580,10990,,,,,,,,,,,,
11/09/2022,30380,24240,11040,12090,88810,,28870,151730,14540,12940,20450,25610,10950,,,,,,,,,,,,
12/09/2022,30370,24040,11140,12080,81870,,28950,152800,14540,12950,20230,25360,11040,87.41,1.22%,8.287,3.02%,437.5,0.52%,"3,550.00",1.43%,18.35,0.71%,841.25,-1.41%
13/09/2022,31520,24220,11140,12100,71560,,29000,152950,14590,12980,20610,25320,11040,86.89,-0.59%,8.334,0.57%,439.35,0.42%,"3,759.00",5.89%,18.38,0.16%,842.75,0.18%
14/09/2022,31300,24060,11090,12070,67980,,28840,152240,14520,13140,20350,25390,10990,88.05,1.34%,9.167,10.00%,444.2,1.10%,"3,700.00",-1.57%,18.27,-0.60%,853.75,1.31%
15/09/2022,32350,24130,11090,12110,64040,,29020,152240,14520,13020,20380,25220,10990,84.65,-3.86%,8.372,-8.67%,445.5,0.29%,"3,700.00",0.00%,18.18,-0.49%,845,-1.02%
16/09/2022,32690,23990,11090,12110,62770,,28920,152240,14520,13010,20040,25140,10990,84.76,0.13%,7.811,-6.70%,439,-1.46%,,,17.88,-1.65%,859.75,1.75%
17/09/2022,32810,23530,11060,12010,61490,,28730,152220,14410,12920,20100,25100,10880,,,,,,,,,,,,
18/09/2022,32810,23500,11090,12110,62050,,28910,152620,14460,13170,20120,25050,10970,,,,,,,,,,,,
19/09/2022,32880,23400,11130,12100,60390,,28950,152760,14460,12980,19960,25000,10920,85.36,0.71%,7.804,-0.09%,439.05,0.01%,"3,606.00",-2.54%,17.69,-1.06%,830.5,-3.40%
20/09/2022,32930,23600,11090,12110,59700,,28840,152760,14460,13200,19830,25030,11060,83.94,-1.66%,7.772,-0.41%,441.3,0.51%,"3,676.00",1.94%,18.19,2.83%,893.75,7.62%
21/09/2022,33220,23730,11090,12090,59610,,28800,152760,14460,12980,19830,24980,11060,82.43,-1.80%,7.827,0.71%,444.5,0.73%,"3,807.00",3.56%,18.22,0.16%,903.75,1.12%
22/09/2022,33540,23600,11090,12090,58100,,28890,153030,14460,12980,19790,24870,11100,83.03,0.73%,7.193,-8.10%,435.65,-1.99%,"3,761.00",-1.21%,18.49,1.48%,910.75,0.77%
23/09/2022,33450,23830,11090,12090,53020,,28790,152760,14460,12960,19840,24910,11060,78.25,-5.76%,6.992,-2.79%,435.2,-0.10%,"3,673.00",-2.34%,18.28,-1.14%,880.5,-3.32%
24/09/2022,32980,23900,11090,12090,50970,40000,28790,152760,14460,12980,19800,24910,11100,,,,,,,,,,,,
25/09/2022,33240,24140,11120,12130,47640,40000,28670,153120,14450,12990,19800,24910,11100,,,,,,,,,,,,
26/09/2022,33260,23780,11120,12130,44220,,28890,152760,14410,12870,19840,24760,11100,76.18,-2.65%,7.014,0.31%,438,0.64%,"3,481.00",-5.23%,18.35,0.38%,858,-2.56%
27/09/2022,34030,23750,11110,12140,40810,40000,28920,152760,14460,12910,19770,24410,11100,77.81,2.14%,6.76,-3.62%,437.65,-0.08%,"3,463.00",-0.52%,18.19,-0.87%,871.5,1.57%
28/09/2022,33840,23580,11110,12140,40660,,28730,152760,14460,12960,19900,24280,11120,81.24,4.41%,6.955,2.88%,436,-0.38%,"3,144.00",-9.21%,18.29,0.55%,903.25,3.64%
29/09/2022,33790,23800,11130,12140,40700,,28870,152760,14460,12910,19920,24180,11220,80.42,-1.01%,7.142,2.69%,435.75,-0.06%,"3,278.00",4.26%,18.44,0.82%,896.25,-0.77%
30/09/2022,33450,23920,11130,12160,39570,,28820,152760,14460,12950,19770,23950,11220,78.72,-2.11%,7.065,-1.08%,433.7,-0.47%,"3,327.00",1.49%,18.42,-0.11%,921.5,2.82%
01/10/2022,33520,23920,11170,12190,39320,,28770,152760,14460,12950,19290,23830,11440,,,,,,,,,,,,
02/10/2022,32860,24450,11170,12190,39860,,28690,151420,14460,12910,19700,23770,11260,,,,,,,,,,,,
03/10/2022,33550,23840,11170,12170,39360,,28860,152620,14460,12910,19860,23390,11380,82.7,5.06%,6.803,-3.71%,401.5,-7.42%,"3,320.00",-0.21%,17.42,-5.43%,912,-1.03%
04/10/2022,34030,23480,11200,12230,40940,,28780,152240,14410,12790,19740,22650,11260,85.5,3.39%,7.174,5.45%,404,0.62%,"3,501.00",5.45%,17.91,2.81%,903,-0.99%
05/10/2022,34080,23630,11200,12220,41200,,28440,152760,14410,12740,19740,22660,11260,86.84,1.57%,7.236,0.86%,396.25,-1.92%,"3,532.00",0.89%,17.95,0.22%,902,-0.11%
06/10/2022,34230,23580,11200,12230,43410,,28640,152760,14420,12600,19740,22610,11260,87.59,0.86%,7.242,0.08%,400,0.95%,"3,589.00",1.61%,18.46,2.84%,879,-2.55%
07/10/2022,34390,23820,11220,12230,44600,,28490,153540,14420,12740,19780,22870,11260,91.35,4.29%,7.047,-2.69%,385.8,-3.55%,"3,630.00",1.14%,18.68,1.19%,880.25,0.14%
08/10/2022,34430,23910,11150,12180,46880,,29030,152220,14410,12680,19580,22770,11200,,,,,,,,,,,,
09/10/2022,34650,23930,11220,12230,51100,,28750,153360,14420,12740,19700,22740,11260,,,,,,,,,,,,
10/10/2022,34720,23930,11230,12250,52230,,28980,153850,14420,12690,19780,22970,11250,89.84,-1.65%,6.784,-3.73%,386.5,0.18%,,,18.61,-0.37%,938,6.56%
11/10/2022,34240,23710,11230,12200,52190,,29290,153540,14420,12720,19740,23210,11250,87.97,-2.08%,6.928,2.12%,391.15,1.20%,"3,484.00",-4.02%,18.74,0.70%,901,-3.94%
12/10/2022,34830,24000,11230,12250,50610,,29240,153300,14420,12720,19740,23280,11290,86.06,-2.17%,6.766,-2.34%,403,3.03%,"3,523.00",1.12%,18.68,-0.32%,882.25,-2.08%
13/10/2022,33890,24090,11190,12190,48960,,29240,153300,14420,12760,19740,23290,11250,87.95,2.20%,7.053,4.24%,393.5,-2.36%,"3,530.00",0.20%,18.81,0.70%,892.25,1.13%
14/10/2022,34240,24080,11240,12250,47190,,29070,153300,14370,12860,19700,23080,11250,84.65,-3.75%,6.827,-3.20%,392.5,-0.25%,"3,650.00",3.40%,18.84,0.16%,859.75,-3.64%
15/10/2022,33760,23900,11220,12230,46600,,29170,151630,14370,12810,19660,23040,11280,,,,,,,,,,,,
16/10/2022,33760,23980,11220,12270,45370,,28960,153300,14390,12800,19560,22910,11240,,,,,,,,,,,,
17/10/2022,33950,23820,11190,12190,40510,,28910,153630,14380,12850,19660,23160,11280,84.53,-0.14%,6.479,-5.10%,392.15,-0.09%,"3,801.00",4.14%,18.77,-0.37%,861,0.15%
18/10/2022,34360,23890,11240,12250,39660,,29020,153300,14330,12820,19540,23240,11310,82.07,-2.91%,6.237,-3.74%,387.85,-1.10%,"3,933.00",3.47%,18.67,-0.53%,849.5,-1.34%
19/10/2022,34070,23930,11240,12250,39350,,29020,152780,14370,12830,19540,23130,11270,84.52,2.99%,5.928,-4.95%,391,0.81%,"4,021.00",2.24%,18.65,-0.11%,841.25,-0.97%
20/10/2022,33580,23890,11250,12250,36800,,28990,152780,14330,12770,19540,23150,11170,84.51,-0.01%,5.838,-1.52%,391.95,0.24%,"3,995.00",-0.65%,18.39,-1.39%,849.25,0.95%
21/10/2022,34030,23900,11240,12230,35670,,28720,153300,14330,12810,19540,23360,11280,83.95,-0.66%,5.472,-6.27%,390,-0.50%,"3,979.00",-0.40%,18.38,-0.05%,850.75,0.18%
22/10/2022,33960,23850,11250,12230,33780,,28860,152780,14330,12880,19490,23160,11300,,,,,,,,,,,,
23/10/2022,33500,23840,11240,12210,33040,38000,28700,153130,14330,12800,19490,23150,11300,,,,,,,,,,,,
24/10/2022,34660,23770,11240,12230,32230,,28690,154040,14330,12960,19530,22970,11350,83.59,-0.43%,5.753,5.14%,390,0.00%,,,18.13,-1.36%,838.75,-1.41%
25/10/2022,34050,23480,11280,12250,30970,,27570,154480,14270,13000,19490,22850,11300,84.31,0.86%,6.166,7.18%,388.15,-0.47%,"3,964.00",-0.38%,18.11,-0.11%,834.75,-0.48%
26/10/2022,34360,24020,11250,12230,31820,,28770,153730,14330,13350,19530,23120,11340,86.68,2.81%,6.119,-0.76%,386.5,-0.43%,"3,904.00",-1.51%,17.86,-1.38%,840.5,0.69%
27/10/2022,34060,24020,11250,12230,31390,,28730,153730,14330,13020,19530,23150,11340,87.83,1.33%,5.875,-3.99%,385.6,-0.23%,"3,924.00",0.51%,17.71,-0.84%,838.5,-0.24%
28/10/2022,34200,24020,11250,12230,31480,,28670,152780,14330,13120,19670,22940,11340,86.61,-1.39%,5.953,1.33%,385.7,0.03%,"3,826.00",-2.50%,17.58,-0.73%,829.25,-1.10%
29/10/2022,33650,23760,11210,12230,29960,,28670,153730,14330,13120,19710,22930,11340,,,,,,,,,,,,
30/10/2022,33020,24150,11210,12210,29180,,28600,154040,14340,13140,19770,22930,11340,,,,,,,,,,,,
31/10/2022,33070,24080,11200,12210,29390,,28470,154530,14340,13130,19750,22950,11340,85.4,-1.40%,6.607,10.99%,356.3,-7.62%,"3,858.00",0.84%,17.97,2.22%,882.25,6.39%
01/11/2022,33330,23660,11240,12250,28090,,28160,154000,14340,13190,19910,22990,11340,87.19,2.10%,6.08,-7.98%,359,0.76%,"4,048.00",4.92%,18.43,2.56%,902.5,2.30%
02/11/2022,33280,23710,11240,12240,27970,,28520,153540,14250,13310,19710,23070,11340,88.86,1.92%,6.589,8.37%,361,0.56%,"4,193.00",3.58%,18.47,0.22%,846,-6.26%
03/11/2022,33470,23530,11240,12240,26720,,28520,153540,14290,13320,19540,23000,11340,87.18,-1.89%,6.33,-3.93%,351,-2.77%,"4,153.00",-0.95%,18.47,0.00%,840.5,-0.65%
04/11/2022,35230,24070,11240,12240,30710,,28540,153540,14380,13180,19600,22950,11340,91.45,4.90%,6.754,6.70%,349.5,-0.43%,"4,182.00",0.70%,18.71,1.30%,847.75,0.86%
