Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (Curah)
22/11/2022,34510,23670,11220,12240,31970,,28910,153290,14320,13580,19640,25000,11330
23/11/2022,34980,23900,11180,12240,31940,,28970,153290,14360,13540,19510,25130,11330
24/11/2022,34560,24290,11160,12220,31600,,29300,153540,14320,13350,19270,24950,11290
25/11/2022,34170,24180,11160,12230,32020,,29370,153740,14310,13460,19080,25200,11300
26/11/2022,34360,24180,11100,12190,31420,,29350,153190,14360,13450,19440,25330,11300
27/11/2022,33870,24070,11100,12190,30910,,29390,153190,14360,13450,19440,25390,11250
28/11/2022,34270,23860,11160,12220,31000,37420,29290,154060,14380,13430,19390,25500,11320
29/11/2022,34010,24010,11170,12270,31000,,29790,153380,14370,13670,19250,25610,11330
30/11/2022,33490,23430,11160,12210,31090,,29360,153540,14340,13460,19380,25660,11290
01/12/2022,33290,23760,11150,12220,31230,,29460,153290,14300,13550,19420,25830,11330
02/12/2022,33200,24070,11150,12220,31380,,29590,153290,14340,13570,19420,25820,11330
03/12/2022,32770,24100,11140,12230,31770,,29770,153290,14320,13570,19070,25790,11330
04/12/2022,32600,23940,11100,12180,32080,,29650,153470,14360,13560,19310,25850,11300
05/12/2022,33100,23970,11140,12210,31610,,29960,153610,14380,13570,19350,25870,11310
06/12/2022,33260,23940,11150,12210,31720,,30070,153610,14330,13570,19350,25960,11290
07/12/2022,33220,23950,11150,12210,32200,,30270,153610,14340,13570,19350,26200,11290
08/12/2022,33030,23710,11150,12210,33480,,30470,153610,14360,13570,19430,26330,11290
09/12/2022,32630,23790,11160,12220,33560,,30530,153290,14330,13480,19480,26280,11260
10/12/2022,33050,24240,11130,12120,34280,,30130,153470,14340,13540,19240,26960,11230
11/12/2022,32540,24040,11100,12170,33880,,30240,153290,14490,13550,19100,26380,11260
12/12/2022,32570,24290,11170,12230,35190,,30300,153610,14470,13570,19430,26480,11290
13/12/2022,32170,24400,11170,12220,37100,,30720,153610,14470,13620,19470,26590,11340
14/12/2022,32490,24310,11150,12180,36040,,30980,153610,14470,13560,19470,26630,11340
15/12/2022,32590,24480,11150,12180,37020,,31110,153610,14470,13590,19020,27030,11340
16/12/2022,33060,24410,11150,12180,37440,,31290,153150,14470,13560,19180,26870,11340
17/12/2022,33100,24760,11170,12170,38890,,31080,152800,14490,13650,19020,27170,11320
18/12/2022,33120,24410,11160,12200,38880,,31250,153150,14470,13580,19140,27030,11390
19/12/2022,33660,24580,11120,12190,39660,,31480,153150,14490,13560,19230,26880,11460
20/12/2022,32990,24840,11180,12270,40080,,31800,153610,14470,13620,19180,26970,11440
21/12/2022,32910,25140,11180,12270,39180,,31950,153150,14470,13860,19180,27150,11440
22/12/2022,33210,25180,11210,12290,39570,,31910,153610,14470,13650,19180,27220,11440
23/12/2022,32760,25010,11210,12310,39340,,32080,153120,14470,13760,19220,27100,11440
24/12/2022,33430,25040,11220,12310,39790,,32190,153120,14510,14100,18460,27140,11500
25/12/2022,33520,25350,11200,12300,39330,,32200,153680,14540,13810,19740,27420,11610
26/12/2022,32840,25100,11220,12310,37840,,32370,153120,14510,14020,18940,27410,11480
27/12/2022,32870,24810,11210,12310,36260,,32340,153120,14590,13900,19340,27290,11550
28/12/2022,32700,24780,11210,12310,36100,30000,32580,153120,14590,13930,18860,27310,11470
29/12/2022,32920,25140,11230,12310,34730,,32530,153120,14590,13930,19300,27100,11470
30/12/2022,33600,25360,11190,12220,33980,,32660,152920,14640,13910,19360,27290,11540
31/12/2022,32740,25070,11210,12320,31350,,33020,152210,14580,14070,19030,27490,11380
01/01/2023,31930,25040,11250,12370,29890,,32710,152340,14610,14080,18860,27400,11300
02/01/2023,32630,25040,11240,12340,31320,,33180,152210,14630,14110,19190,27210,11340
03/01/2023,32270,25160,11270,12380,32510,,33330,152590,14560,14230,18700,27110,11330
04/01/2023,32590,25050,11220,12380,31620,,32960,152590,14560,14130,18970,27010,11330
05/01/2023,32570,25190,11300,12380,31010,,32620,153120,14640,14310,18970,27070,11290
06/01/2023,32810,24870,11280,12360,30570,,32670,152590,14640,14380,18970,27050,11290
07/01/2023,32750,24910,11300,12360,30780,,32530,152590,14640,14260,18930,26890,11450
08/01/2023,32230,24970,11220,12330,30800,,32360,152210,14630,14230,18800,27000,11300
09/01/2023,32310,24300,11230,12440,30700,,32890,154160,14520,14350,18860,26850,11310
10/01/2023,32570,25070,11340,12440,32360,,32360,152590,14670,14390,18970,26870,11330
11/01/2023,33080,24850,11400,12470,33050,,32400,152590,14670,14390,19040,26750,11210
12/01/2023,33080,24800,11410,12490,33120,,32580,152590,14670,14640,19120,26770,11190
13/01/2023,33460,24950,11430,12510,32870,,32310,152590,14670,14300,19120,26380,11190
14/01/2023,33980,24950,11430,12490,33550,,32340,152830,14670,14470,19090,26380,11190
15/01/2023,33500,24760,11430,12490,34350,,32340,152830,14690,14660,19090,26290,11240
16/01/2023,33880,24960,11470,12560,34790,,32250,152830,14690,14470,19120,26000,11240
17/01/2023,33870,25080,11480,12560,34680,,32100,153360,14690,14470,18910,26000,11240
18/01/2023,34150,25240,11440,12570,34660,,31440,152470,14670,14450,18920,25970,11200
19/01/2023,34000,25180,11450,12540,34940,,31420,153360,14690,14250,19050,25920,11240
20/01/2023,34510,25400,11500,12580,35290,50000,30970,152830,14690,14270,19080,25900,11240
21/01/2023,34610,25470,11480,12570,36190,,30960,151980,14720,14270,18860,25960,11230
22/01/2023,34760,25560,11480,12550,36210,,31010,152470,14720,14270,18820,25960,11230
23/01/2023,34830,25680,11510,12570,37990,,30940,152370,14730,14300,18990,25920,11270
24/01/2023,34870,25600,11520,12590,36930,38000,30800,152830,14730,14310,19130,25990,11270
25/01/2023,35420,25400,11550,12670,38470,,30840,152500,14720,14230,18970,25920,11230
26/01/2023,35870,25420,11610,12680,37870,,30860,152370,14770,14350,19090,25690,11270
27/01/2023,35810,25770,11610,12680,37500,,30640,152830,14770,14300,19090,25620,11270
28/01/2023,36050,25940,11590,12630,38310,,30750,152470,14850,14480,18970,25610,11230
29/01/2023,36550,25880,11540,12570,38630,,30500,152830,14790,14320,18940,25630,11250
30/01/2023,36430,26090,11550,12710,40860,,30810,153020,14760,14260,19120,25460,11330
31/01/2023,36190,26240,11700,12930,41250,,30250,153330,14750,14380,19130,25320,11270
01/02/2023,36670,25680,11570,12730,41460,,30270,153330,14820,14610,19020,25310,11270
02/02/2023,37220,26390,11640,12770,42390,,30360,153330,14630,14440,19100,25270,11270
03/02/2023,37680,26520,11590,12760,44380,,30240,152860,14770,14710,19220,25090,11220
04/02/2023,37830,26780,11590,12760,44990,,30330,152860,14770,14440,19170,25030,11220
05/02/2023,38280,26640,11550,12690,45210,,30140,152860,14760,14440,19210,24940,11230
06/02/2023,37970,26660,11620,12830,45870,,30120,153330,14730,14380,19150,24790,11310
07/02/2023,37870,26850,11610,12810,44870,,30140,153020,14720,14360,18840,24640,11230
08/02/2023,38170,27090,11630,12770,43030,,29760,152860,14730,14420,19240,24630,11310
09/02/2023,37840,27350,11660,12810,41790,,30020,152860,14690,14510,19020,24540,11260
10/02/2023,37490,27270,11660,12810,42420,,30140,152860,14690,14420,19170,24480,11260
11/02/2023,37990,27280,11620,12800,42160,,30090,152860,14730,14630,18840,24480,11260
12/02/2023,37510,27240,11640,12820,41920,,29940,152860,14690,14240,19170,24200,11260
13/02/2023,36570,27070,11690,12860,40210,,29630,152860,14690,14400,18990,24480,11260
14/02/2023,37100,27110,11630,12850,40440,,29590,152860,14690,14610,18980,24460,11180
15/02/2023,35980,27110,11590,12820,39270,,29990,152860,14640,14390,18620,24330,11200
16/02/2023,36330,27210,11640,12810,38810,,29850,152860,14640,14390,18610,24300,11200
17/02/2023,36420,26440,11580,12810,39160,,29870,153330,14630,14290,18510,24040,11170
18/02/2023,35890,26570,11520,12720,40250,,30020,152500,14580,14190,18320,24200,11170
19/02/2023,35290,26260,11520,12720,40200,,30130,152990,14580,14240,18340,24140,11170
20/02/2023,35130,26550,11590,12810,40900,,29840,152860,14600,14180,18590,24110,11200
21/02/2023,35360,26460,11610,12800,40900,,29670,152860,14600,14170,18540,23960,11250
22/02/2023,35190,26340,11610,12850,39140,,29550,153330,14600,14430,18540,24020,11250
23/02/2023,35400,26720,11610,12820,40920,,29550,153330,14600,14210,18540,23880,11200
24/02/2023,34820,27120,11630,12810,42160,,29450,152860,14600,13980,18540,23740,11250
25/02/2023,34960,27120,11570,12760,41720,,29460,152990,14580,14000,18340,23740,11170
26/02/2023,35040,27260,11620,12800,42140,,29150,153170,14600,13990,18260,23710,11250
27/02/2023,35020,27560,11570,12780,41590,,29600,153510,14630,14130,18410,23880,11310
28/02/2023,35060,27400,11620,12810,41470,,29220,152800,14550,14030,18560,23660,11250
01/03/2023,35020,27620,11620,12800,40670,,29250,153330,14600,13980,18560,23640,11250
02/03/2023,35160,27850,11540,12770,41040,,29410,152570,14610,13960,18520,23670,11280
03/03/2023,35210,27870,11460,12790,40850,,29200,152860,14640,13890,18500,23600,11250
04/03/2023,34490,28150,11640,12770,41230,,29030,153330,14640,13890,18460,23570,11250
05/03/2023,34960,28300,11590,12720,40840,,29140,152990,14630,13850,18010,23580,11270
06/03/2023,35380,28670,11280,12680,39580,,28690,153510,14480,13770,18330,23220,11170
07/03/2023,34630,28780,11530,12690,39440,,28930,153330,14600,13730,18460,23380,11250
08/03/2023,34520,28740,11570,12720,39940,,28970,153330,14550,13770,18500,23410,11310
09/03/2023,34400,28650,11560,12720,39990,,29090,153330,14550,13730,18560,23590,11250
10/03/2023,34340,28790,11550,12700,39930,,29220,152860,14600,13720,18560,23740,11300
11/03/2023,34790,28830,11490,12630,39490,,28940,152990,14620,13920,18320,23560,11270
12/03/2023,33970,28830,11560,12700,39050,,29300,153820,14580,13750,18360,23650,11270
13/03/2023,34580,29720,11560,12690,39570,,29390,153330,14600,13880,18520,23780,11300
14/03/2023,34250,29660,11530,12670,38750,,29430,153330,14600,13840,18520,24100,11300
15/03/2023,34260,29900,11470,12620,38670,,29560,152990,14620,13870,18340,24220,11270
16/03/2023,34560,29770,11460,12560,38280,,29540,152990,14620,13830,18340,24280,11270
17/03/2023,35040,29880,11520,12670,37760,,29610,154230,14630,14070,18170,24270,11300
18/03/2023,35070,30100,11520,12650,36820,,29450,154730,14630,13890,18520,24380,11300
19/03/2023,35040,30100,11510,12650,37140,,29780,158240,14630,13860,18520,24690,11300
20/03/2023,35090,30910,11530,12650,37220,,30010,163360,14550,13750,18630,24780,11300
21/03/2023,35380,31080,11500,12650,38180,,30620,174540,14630,13860,18540,24570,11250
22/03/2023,35370,31150,11520,12660,37530,,31200,169950,14620,13760,18360,25040,11310
23/03/2023,34900,30710,11500,12630,36050,,30430,157090,14650,13890,18260,24670,11330
24/03/2023,34680,30660,11490,12660,35880,,30170,156550,14590,13860,18630,25110,11300
25/03/2023,34190,31050,11450,12630,34690,,30330,156740,14600,13840,18520,24990,11330
26/03/2023,33760,30240,11440,12600,34440,,29950,156020,14570,13810,18470,24850,11270
27/03/2023,34380,30170,11490,12660,32890,,29740,156210,14630,13780,18340,24750,11300
28/03/2023,33570,30150,11470,12640,31620,,29750,155270,14630,13780,18560,24810,11300
29/03/2023,33550,29610,11450,12620,28580,,29780,154530,14620,13720,18390,24710,11270
30/03/2023,33160,29880,11490,12640,28030,,29880,154800,14630,13780,18530,24720,11300
31/03/2023,33610,29880,11460,12570,27570,,29250,154300,14660,13820,18640,24710,11350
01/04/2023,33180,29580,11500,12560,26440,,29190,154000,14610,13720,18390,24600,11350
02/04/2023,32200,29190,11520,12630,26650,,29220,154300,14630,13740,18570,24640,11380
03/04/2023,32240,29650,11520,12640,26290,20000,29140,154300,14590,13700,18570,24610,11340
04/04/2023,31750,29490,11520,12630,25900,,29190,153800,14590,13620,18530,24510,11340
05/04/2023,32090,29780,11530,12680,26580,,29680,154560,14610,13900,18580,24540,11520
06/04/2023,31770,30110,11490,12620,25630,,29140,153800,14590,13680,18590,24580,11360
07/04/2023,31410,30040,11500,12620,25420,,28980,154000,14610,13680,18450,24600,11400
08/04/2023,31440,29860,11510,12620,25300,,28970,153800,14590,13710,18590,24530,11430
09/04/2023,30990,29810,11510,12620,25420,,28870,153800,14590,13670,18590,24480,11430
10/04/2023,31430,29570,11510,12630,25570,,28860,153480,14660,13680,18530,24460,11390
11/04/2023,31390,29820,11480,12590,25560,,28510,154000,14610,13650,18430,24320,11390
12/04/2023,31430,29520,11480,12580,26700,,28360,154530,14610,13650,18550,24280,11340
13/04/2023,31410,29630,11500,12610,25200,,28760,153800,14630,13620,18610,24310,11370
14/04/2023,31410,29400,11470,12610,25070,,28930,153800,14630,13660,18610,24220,11370
15/04/2023,31580,29310,11500,12610,25310,,28970,154300,14630,13610,18570,24240,11410
16/04/2023,30270,28570,11500,12620,24890,,28930,154300,14630,13610,18540,24320,11460
17/04/2023,30590,29260,11520,12660,26040,,29010,155300,14630,13660,18570,24270,11370
18/04/2023,30990,29370,11520,12660,27140,,29640,155620,14640,13700,18570,24460,11420
19/04/2023,31540,29500,11500,12620,28680,,30040,160900,14690,13700,18570,24440,11420
20/04/2023,32020,29520,11520,12660,31140,,31660,173980,14690,13720,18470,24610,11460
21/04/2023,31820,29740,11500,12640,31150,,31480,176140,14520,13690,18430,24520,11390
22/04/2023,31180,29590,11130,12300,30270,,30370,159550,14590,13900,19550,24720,10980
23/04/2023,29990,29660,11400,12570,29840,,31180,159550,14660,14030,18710,24490,11150
24/04/2023,30820,29990,11570,12710,28990,,31310,156720,14690,13560,19130,24370,11080
25/04/2023,30860,29050,11590,12620,28520,,30900,153580,14600,13620,18310,24520,11210
26/04/2023,31410,29390,11490,12640,28710,,30780,154390,14670,13710,18480,24660,11300
27/04/2023,31110,30120,11500,12670,28140,,30730,155250,14660,13610,18350,24770,11260
28/04/2023,31550,29770,11510,12700,26810,,30720,154720,14730,13720,18560,24390,11480
29/04/2023,30970,29360,11550,12740,27180,,30400,154440,14670,13710,18380,24390,11400
30/04/2023,31070,29680,11500,12690,25270,,30590,153920,14670,13700,18580,24560,11340
01/05/2023,30610,29880,11540,12700,26250,,30710,154220,14690,13700,18640,24230,11410
02/05/2023,31620,30800,11560,12750,24680,,30860,153540,14720,13730,18760,24050,11460
03/05/2023,31880,30910,11540,12720,23440,,30790,153360,14730,14020,18680,24180,11440
04/05/2023,31590,30610,11520,12700,21660,,31140,152530,14670,13730,18540,24320,11340
05/05/2023,31600,30590,11520,12720,22130,,31150,152900,14690,14020,18690,24380,11410
06/05/2023,31720,30680,11550,12760,22860,,30910,153050,14720,13720,18840,24510,11400
07/05/2023,31780,30930,11540,12720,22240,,31300,152130,14750,13600,18450,24660,11410
08/05/2023,32340,32520,11500,12720,21970,,31110,153390,14730,13710,18690,24790,11410
09/05/2023,32660,32300,11510,12720,22060,,31270,152900,14730,13750,18690,25040,11410
10/05/2023,33510,33390,11500,12720,21430,,31530,152530,14720,13710,18360,25260,11430
11/05/2023,32880,33560,11530,12720,21250,,31530,152900,14730,13750,18660,25310,11410
12/05/2023,32930,33680,11550,12760,22260,,31290,153050,14720,13970,18800,25430,11400
13/05/2023,32970,33390,11470,12690,22530,,31200,152130,14700,13950,18490,25320,11360
14/05/2023,32260,33780,11520,12720,21800,,31290,152900,14730,14100,18660,25450,11410
15/05/2023,31620,33720,11530,12760,21100,18000,31190,153220,14700,13860,18750,25730,11370
16/05/2023,32400,34750,11550,12720,21050,,31630,153390,14730,13600,18660,25780,11320
17/05/2023,32520,34720,11550,12730,20870,,31500,153570,14720,13940,18470,25930,11340
18/05/2023,32790,34650,11550,12720,21190,,31310,153390,14770,13830,18660,26430,11370
19/05/2023,32170,34390,11540,12730,20540,,31900,153220,14800,13770,18490,26300,11420
20/05/2023,33050,34550,11550,12760,21410,,31520,153390,14770,13830,18660,26270,11320
21/05/2023,31990,34370,11600,12750,20330,,31870,154660,14760,13780,18390,26400,11330
22/05/2023,32030,34740,11550,12720,19920,,31870,153390,14770,13830,18660,26370,11460
23/05/2023,32670,34540,11630,12690,20280,,31350,153570,14760,13880,18650,26460,11200
24/05/2023,32080,35270,11550,12710,20390,20000,31790,153890,14770,13870,18660,26580,11320
25/05/2023,32300,34790,11550,12710,20950,,31790,153890,14820,13820,18440,26610,11320
26/05/2023,32430,34890,11550,12700,21740,,31990,153390,14820,13820,18610,26610,11320
27/05/2023,32810,35430,11550,12710,22210,,32300,154100,14810,13770,18470,26650,11290
28/05/2023,31950,34900,11520,12660,22620,,32560,153570,14810,13930,18600,26650,11290
29/05/2023,31760,35450,11530,12660,23810,,32690,153390,14810,13590,18360,26730,11330
30/05/2023,31970,35980,11550,12670,23440,,32490,153700,14770,13610,18340,26650,11360
31/05/2023,31880,35980,11520,12670,25850,20000,33010,154060,14840,13520,18300,26780,11300
01/06/2023,31710,35680,11530,12660,25350,,32530,154060,14810,13590,18280,26550,11380
02/06/2023,31800,35350,11540,12700,25710,,32530,154590,14850,13640,18730,26590,11380
03/06/2023,32180,36020,11540,12670,25670,,32420,154360,14820,13790,18650,26580,11780
04/06/2023,31800,36980,11530,12670,25100,,32610,154360,14810,13530,18490,26660,11380
05/06/2023,31060,37390,11540,12680,25360,,32500,154390,14900,13670,18830,26630,11410
06/06/2023,31380,37360,11510,12680,24930,,32610,154590,14800,13660,18730,26690,11480
07/06/2023,31890,37490,11550,12700,27610,,32810,154590,14850,13600,18780,26920,11430
08/06/2023,32140,37520,11520,12640,26290,,33100,154360,14820,13590,18630,26940,11400
09/06/2023,31440,37330,11470,12630,25290,,33420,155510,14880,14130,19260,26870,11450
10/06/2023,31980,37440,11480,12570,25780,,32870,154590,14810,13580,18540,26850,11700
11/06/2023,31930,37340,11650,12700,26440,,33590,153630,14870,13630,19120,27060,11260
12/06/2023,32790,37280,11510,12690,26750,,33560,154290,14850,13580,18680,26830,11450
13/06/2023,32730,37220,11520,12640,26520,,33830,155110,14940,13530,18650,26930,11330
14/06/2023,33310,37220,11470,12600,26760,,33930,154290,14940,13460,18430,27080,11240
15/06/2023,33920,37190,11440,12590,26700,,33770,154290,14890,13560,18180,27020,11240
16/06/2023,33870,37210,11490,12600,26770,,33840,154360,14900,13550,18290,27170,11260
17/06/2023,34750,37210,11490,12600,26980,,33760,154850,14900,13550,18500,27140,11260
18/06/2023,34580,37310,11470,12590,26020,,33990,154360,14900,13530,18320,27230,11230
19/06/2023,34880,37310,11460,12590,27310,,33510,154590,14850,13580,18480,27150,11280
20/06/2023,35460,37100,11490,12590,27030,,33790,154850,14860,13550,18270,27250,11310
21/06/2023,36380,37650,11440,12560,26990,,33490,154590,14850,13540,18520,27400,11280
22/06/2023,36790,37920,11480,12620,27860,,33620,154850,14900,13550,18580,27370,11310
23/06/2023,37090,37960,11470,12620,28080,,33810,154590,14850,13580,18480,27420,11280
24/06/2023,36480,37930,11490,12620,27880,,33960,154850,14930,13550,18500,27310,11570
25/06/2023,36180,38010,11490,12620,28510,,33930,154620,14900,13550,18500,27260,11310
26/06/2023,37600,37830,11540,12480,28980,,33810,157490,14900,13630,18760,27220,11300
27/06/2023,37800,39050,11600,12700,34050,,35330,169940,14950,13580,18440,27230,11530
28/06/2023,37980,39080,11490,12620,33250,,35680,174550,14950,13590,18510,27370,11310
29/06/2023,35760,37470,11420,12580,32650,,35630,167540,14790,13270,17790,27290,11160
30/06/2023,36660,38230,11450,12610,35680,,34550,162300,14800,13250,17930,27390,11080
01/07/2023,37600,38260,11450,12590,36090,,33190,157740,14940,13590,18740,27230,11280
02/07/2023,38190,39970,11470,12630,37650,,34680,157110,14840,13630,18530,27610,11310
03/07/2023,37810,39470,11470,12640,38200,,34520,155860,14950,13790,18400,27340,11440
04/07/2023,37290,40100,11490,12640,38410,50000,33790,154850,14990,13630,18660,27130,11300
05/07/2023,37780,40510,11480,12640,38710,,33920,154850,14990,13530,18320,27330,11540
06/07/2023,37510,41050,11560,12630,38820,,33710,153860,14990,13860,18240,27630,11450
07/07/2023,37950,41680,11490,12640,38420,,33840,153740,14870,13910,17790,27200,11380
08/07/2023,36960,41490,11480,12640,36920,,33040,154060,15010,13560,18370,27060,11270
09/07/2023,36370,41220,11520,12670,37100,,33170,153670,15010,13590,18140,27100,11410
10/07/2023,36940,41900,11530,12680,36190,,32900,153860,14930,13590,18170,27240,11300
11/07/2023,36600,41340,11540,12730,36620,,33050,153740,15000,13530,18170,27350,11250
12/07/2023,36570,40860,11480,12620,36380,,32730,154060,14970,13490,18090,27400,11230
13/07/2023,36190,40480,11520,12670,35490,,32480,154360,14840,13590,17870,27260,11260
14/07/2023,36210,40860,11510,12690,35930,,33320,154890,14920,13690,18060,27170,11290
15/07/2023,37080,40250,11510,12710,34840,,33260,154290,14820,13730,17820,26970,11290
16/07/2023,36180,40750,11530,12710,35580,,33410,154850,14920,13650,17860,27060,11190
17/07/2023,35330,40330,11630,12800,36450,,32910,154360,14970,13590,18170,26790,11390
18/07/2023,35410,40320,11590,12760,36040,,33020,154590,14970,13570,18010,26860,11370
19/07/2023,35760,39790,11600,12770,36200,,32640,154360,14970,13630,18170,26920,11390
20/07/2023,35640,40540,11600,12770,35140,,32410,154360,14980,13810,18170,26920,11390
21/07/2023,35190,40890,11590,12780,35560,,32590,154060,14980,13620,18130,26960,11370
22/07/2023,34490,40520,11640,12810,34680,,32320,154360,14980,13630,18170,26950,11510
23/07/2023,34060,39940,11650,12840,34410,,32400,154360,14980,14000,18070,26920,11530
24/07/2023,34120,40570,11640,12820,34910,,31770,155400,14980,13540,18230,26960,11380
25/07/2023,33400,40410,11660,12820,34730,,31670,154360,14940,13590,18250,26990,11350
26/07/2023,32920,40750,11600,12760,33440,,31510,154290,14880,13570,18170,27150,11340
27/07/2023,31570,40360,11690,12850,32760,,31210,154850,14840,13710,18280,27050,11260
28/07/2023,31390,40270,11690,12850,32810,,31150,154360,14850,13630,18280,27100,11260
29/07/2023,31080,40260,11620,12760,33320,,30990,154590,14880,13610,18150,27130,11310
30/07/2023,30880,39870,11680,12820,32590,30000,31280,154350,14890,13830,18250,27030,11350
31/07/2023,31140,39990,11680,12860,31610,,31170,154860,14890,13630,18130,27030,11420
01/08/2023,30150,39590,11740,12910,31710,,30650,154860,14900,13700,18410,27000,11220
02/08/2023,30020,39440,11740,12900,32260,,30050,155110,14850,13630,18250,26960,11240
03/08/2023,29900,39440,11750,12940,31580,,29710,155110,14890,13690,17880,27050,11240
04/08/2023,30100,39290,11790,12900,32090,,29870,155110,14890,13890,18180,26980,11240
05/08/2023,30040,38860,11870,12940,32400,,30260,154360,14840,13670,18340,26870,11170
06/08/2023,29890,39210,11790,12950,33280,,29570,154860,14890,13640,18030,27010,11280
07/08/2023,30110,38970,11780,12950,35200,,29160,154860,14890,13620,18180,27040,11510
08/08/2023,29670,39090,11790,12950,36820,,29300,155110,14890,13620,18180,27090,11240
09/08/2023,29140,39170,11880,13030,40140,,29440,155380,14890,13790,17760,27110,11210
10/08/2023,29920,38450,11830,13010,41490,,29150,155110,14890,13540,18060,27000,11370
11/08/2023,28990,38200,11830,13020,41780,,29010,154610,14880,13580,18060,27090,11240
12/08/2023,29270,38550,11800,13020,44190,,28860,154860,14930,13680,18190,26920,11390
13/08/2023,29100,38660,11830,13050,44990,,29440,154350,14880,13950,17960,26980,11240
14/08/2023,28800,38830,11770,12960,47090,,29300,155110,14880,13650,18110,26910,11300
15/08/2023,29010,38540,11850,13030,50730,,29280,154610,14880,13640,17700,26990,11240
16/08/2023,29230,39090,11760,12990,51090,,29730,154590,14880,13630,18070,27000,11300
17/08/2023,28580,38730,11810,13000,51530,,29450,154610,14840,13640,17810,26990,11240
18/08/2023,27830,38410,11820,13070,51320,,29560,155130,14870,13610,17780,26940,11440
19/08/2023,27880,38390,11760,12980,51540,,28860,154860,14790,13610,18080,26780,11210
20/08/2023,28350,38300,11810,13040,52610,,29580,154080,14920,13580,17770,26800,11210
21/08/2023,28620,38640,11930,13100,52410,,29620,154860,14920,14000,17810,26550,11210
22/08/2023,28600,38170,11850,13090,52340,,29840,154610,14920,13640,17900,26480,11240
23/08/2023,27720,37910,11920,13090,51100,,29670,154330,14920,13540,17730,26580,11330
24/08/2023,27470,37860,11970,13220,50640,,29690,154860,14890,13540,17650,26410,11210
25/08/2023,27240,38070,12030,13240,49730,,29410,155110,14940,13620,17820,26260,11240
26/08/2023,26940,37750,11980,13240,49630,,29450,155110,14940,13620,18140,26120,11240
27/08/2023,27040,37930,12030,13200,48530,,29670,154860,14980,13620,17820,26160,11240
28/08/2023,28070,38120,12040,13270,50380,,29420,154860,14930,13610,17650,26060,11210
29/08/2023,27540,37680,12070,13280,51300,,29380,155110,14940,13710,17820,25990,11240
30/08/2023,26520,38100,12070,13310,51780,,29350,155110,14940,13620,17820,25900,11240
31/08/2023,25430,38160,12270,13480,50720,,30020,154860,14890,13760,17610,25590,11180
01/09/2023,25580,38160,12250,13450,51740,,29510,154330,14890,13650,17820,25500,11270
02/09/2023,25150,37920,12290,13480,52500,,29300,154860,14930,13640,18020,25480,11450
03/09/2023,25230,38170,12400,13610,52630,,30020,155730,14880,13680,17860,25720,11240
04/09/2023,24650,37380,12430,13600,51940,,29740,154610,14890,13580,17820,25470,11260
05/09/2023,24680,37190,12460,13640,51410,,29660,154610,14850,13580,17820,25250,11210
06/09/2023,24380,37060,12470,13640,51090,,29760,154610,14890,13580,17860,25500,11210
07/09/2023,23430,37300,12510,13730,50390,,29570,154570,14840,13560,17710,25220,11140
08/09/2023,23750,37970,12510,13690,50130,,29550,154610,14940,13440,17860,25240,11210
09/09/2023,23610,37520,12530,13710,50590,,29360,154610,14940,13620,17890,25170,11210
10/09/2023,23550,37790,12530,13710,50320,,29570,154080,14980,13650,17730,25270,11220
11/09/2023,23570,37750,12560,13760,47530,,29540,154610,15070,13650,17850,25090,11250
12/09/2023,23370,37790,12450,13750,46350,,29740,154610,14980,13680,17820,25000,11250
13/09/2023,23630,36910,12560,13850,43630,,29480,154610,14980,13640,17710,24870,11250
14/09/2023,23350,36910,12690,13970,41290,,29610,154610,15000,13660,17530,25050,11150
15/09/2023,23150,36790,12640,14130,39640,,29710,155480,14980,13770,18280,25050,11260
16/09/2023,22640,36970,12670,13990,39510,,29510,154570,14980,13680,18170,24950,11190
17/09/2023,22520,36730,12670,14080,39280,,29630,153880,15010,13640,17630,25030,11120
18/09/2023,22800,36750,12930,14200,38880,,29630,154610,15050,13790,17890,25040,11080
19/09/2023,22700,36800,12970,14220,39430,,29490,154860,15050,13650,17800,25060,11040
20/09/2023,23050,36940,12980,14340,40890,,29780,154550,15070,14110,17470,24860,11270
21/09/2023,23160,36900,13000,14250,42200,,29260,154610,15060,13700,17650,24990,11050
22/09/2023,23270,36750,13060,14350,42470,,29300,154610,15150,13750,17690,25010,11090
23/09/2023,23470,36360,13120,14410,43570,,29340,154330,15280,13720,17590,24900,11010
24/09/2023,23430,36640,13100,14390,43700,,29230,154390,15330,13810,17870,24890,11100
25/09/2023,23590,36600,13150,14420,43700,,29380,154610,15360,13790,17740,24910,11100
26/09/2023,23360,36500,13160,14420,46420,35000,29160,155110,15600,13850,17600,24890,11150
27/09/2023,23960,36820,13200,14490,47330,,30130,155820,15620,13790,17740,24950,11140
28/09/2023,23810,36780,13250,14790,47170,,30090,155110,15570,13780,17520,24890,11140
