Date,Harga Bahan Pangan Bawang Merah,Harga Bahan Pangan Bawang Putih Bonggol,Harga Bahan Pangan Beras Medium,Harga Bahan Pangan Beras Premium,Harga Bahan Pangan Cabai Merah Keriting,Harga Bahan Pangan Cabai Rawit Merah,Harga Bahan Pangan Daging Ayam Ras,Harga Bahan Pangan Daging Sapi Murni,Harga Bahan Pangan Gula Konsumsi,Harga Bahan Pangan Minyak Goreng Curah,Harga Bahan Pangan Minyak Goreng Kemasan Sederhana,Harga Bahan Pangan Telur Ayam Ras,Harga Bahan Pangan Tepung Terigu (cerah)
12/11/2022,33070,23740,10310,11560,34990,35710,35930,135760,13830,13240,15800,26660,10490
13/11/2022,32320,23680,10120,11280,34220,36890,34620,136810,13750,13560,15330,26860,10360
14/11/2022,31410,23880,10120,11280,32370,33470,34340,136810,13750,13110,15330,26300,10360
15/11/2022,31160,22780,10120,11280,33400,34160,34480,133980,13750,13110,15330,27370,10360
16/11/2022,30760,22440,10080,11300,33210,37420,34060,132830,13660,12830,14770,27160,10490
17/11/2022,31490,23060,10120,11280,33000,37420,34480,136810,13620,13170,15330,27240,10360
18/11/2022,32070,22930,10070,11320,33710,37050,34620,137450,13830,12880,15800,27320,10490
19/11/2022,30890,23330,10120,11280,32370,37800,34900,136810,13750,13300,15330,27240,10360
20/11/2022,31730,23350,10260,11480,31860,36870,35010,136360,13860,13560,15530,27130,10420
21/11/2022,30360,23310,10100,11280,33560,39340,34900,136810,13680,13740,16110,27500,10360
22/11/2022,30510,23830,10100,11280,33650,38440,34900,136810,13810,13930,15610,27610,10360
23/11/2022,29910,23690,9970,11190,32140,37780,34230,137810,13930,13920,15860,27710,10280
24/11/2022,30740,23370,10040,11250,32650,38500,34230,137070,13780,13780,15240,27630,10420
25/11/2022,30740,22760,10160,11330,32350,37320,33910,136360,13780,13780,15100,28050,10420
26/11/2022,30740,22760,10050,11190,33590,38360,33750,137090,13780,14140,15570,28630,10280
27/11/2022,32030,24660,10260,11410,31670,36750,35170,136360,13780,14910,16000,28770,10420
28/11/2022,32060,23450,10230,11420,33000,37880,34620,135550,13810,13990,16000,29430,10360
29/11/2022,31430,23070,10270,11420,33600,38470,34470,136190,13870,14120,16000,29050,10360
30/11/2022,32300,23640,10290,11350,33380,39750,35300,136190,13610,13990,16000,29860,10360
01/12/2022,32300,23640,10270,11350,34030,42420,34900,136810,13870,14660,16000,29740,10360
02/12/2022,32780,23890,10310,11480,34730,45010,35180,136360,14000,14140,16000,29850,10420
03/12/2022,32420,23740,10270,11350,34000,42800,34760,136810,13740,13990,16000,29740,10360
04/12/2022,32300,23530,10270,11350,35680,42680,35160,137990,13870,13990,16000,30170,10360
05/12/2022,32560,23560,10240,11350,36990,46650,34620,137370,13870,13930,15870,30670,10360
06/12/2022,32360,23870,10240,11260,36940,49840,33760,137710,13850,13990,15580,30700,10280
07/12/2022,32420,23900,10390,11480,35860,51900,34480,136720,13750,13930,16000,30480,10360
08/12/2022,32420,24560,10350,11480,36150,51340,34480,136720,13810,13930,16000,30870,10360
09/12/2022,32060,24160,10310,11410,36520,48980,33910,138450,13780,13920,15730,30850,10280
10/12/2022,32770,24190,10360,11560,36590,49760,35540,137330,13920,14000,16530,30490,10490
11/12/2022,31910,23660,10380,11470,36060,49020,34230,138420,13780,13850,15530,30850,10420
12/12/2022,32400,24320,10390,11480,37400,49110,34760,137370,13870,14120,16130,30730,10360
13/12/2022,32930,24320,10390,11480,36540,50580,35040,137370,13870,14440,15890,30480,10360
14/12/2022,33050,25140,10450,11530,36790,51670,34890,137990,13680,14230,16130,30610,10360
15/12/2022,33100,24830,10450,11530,36730,51950,35040,137990,13810,14230,16200,30480,10360
16/12/2022,33200,24890,10590,11690,37580,50760,35190,136360,13780,14130,16220,30270,10420
17/12/2022,33730,24410,10230,11470,37040,51460,35340,137710,13640,14000,16450,30120,10420
18/12/2022,33890,24480,10450,11530,37340,50980,35040,137990,13750,14110,16200,30090,10360
19/12/2022,33050,25230,10450,11530,36500,49890,35940,137370,13870,14110,15730,29550,10360
20/12/2022,32190,24520,10570,11590,34400,49000,36370,137990,13810,14000,15920,29790,10360
21/12/2022,32650,25740,10740,11760,35400,48930,35980,136360,13860,14060,16070,29410,10420
22/12/2022,32300,24940,10570,11590,34210,47440,36120,137990,13870,14050,15860,29360,10360
23/12/2022,32680,25310,10600,11590,36150,46280,36120,139280,13870,14000,16070,29610,10360
24/12/2022,32560,25570,10600,11590,35810,48130,36260,138640,13680,14180,16070,29490,10360
25/12/2022,32300,25310,10600,11590,35810,48820,36260,139280,13810,14180,16070,29490,10360
26/12/2022,33090,25550,10600,11590,36760,51830,36630,138640,13680,14120,16000,28990,10360
27/12/2022,33090,25550,10600,11530,37120,54400,36220,138640,13810,14050,15940,28990,10360
28/12/2022,34070,25550,10600,11630,38520,55150,36220,138640,13810,14050,15870,28860,10360
29/12/2022,34090,26200,10600,11620,38900,57490,36640,138640,13810,14250,16000,28740,10360
30/12/2022,33680,25640,10610,11680,38680,58220,36170,139900,13780,14510,15000,28350,10420
31/12/2022,34220,25680,10600,11620,41790,66490,36700,138640,13810,14180,16000,28430,10360
01/01/2023,34960,26540,10690,11720,39450,63760,37930,137260,13920,14240,16350,28080,10490
02/01/2023,35910,24860,10690,11720,44590,71030,35930,135760,13740,13990,16440,28410,10490
03/01/2023,36040,25830,10730,11660,45060,78720,36350,136810,13810,13930,15870,27990,10240
04/01/2023,36210,26500,10910,11840,43710,72570,35710,137070,13780,13990,15540,28560,10420
05/01/2023,35960,26070,10800,11790,44600,69510,36060,137990,13810,14050,16130,28240,10360
06/01/2023,36360,26210,11040,12040,48530,70490,36220,137810,13930,14060,16220,28410,10280
07/01/2023,36210,26640,10890,11890,45450,73340,36080,136360,13780,13840,16290,28270,10420
08/01/2023,36210,25540,11000,11960,44020,72000,35400,137810,13780,14280,15060,28140,10420
09/01/2023,36340,24670,10710,11720,45590,66930,34630,137810,14140,14130,15800,27710,10420
10/01/2023,36180,25520,10970,11980,47740,65420,35010,136810,14240,14230,16060,27990,10360
11/01/2023,34870,25410,10970,11840,47250,64730,35140,136810,14120,14110,16060,27990,10490
12/01/2023,35230,25540,10970,11980,45190,60950,35140,136810,14120,14180,16060,27870,10490
13/01/2023,34870,25410,10950,11970,43860,62300,35010,136810,14120,14420,16060,27990,10360
14/01/2023,34870,25520,10970,11970,42060,60360,35010,136810,14120,14920,15330,27930,10490
15/01/2023,35990,25410,10970,11970,44630,61630,35150,136810,14120,14180,16060,27750,10490
16/01/2023,35450,24550,10970,11970,44080,59400,35420,137450,14000,14250,15700,27680,10360
17/01/2023,37720,25650,11030,11970,43560,57260,35420,138080,14000,14170,16130,27800,10360
18/01/2023,37670,25990,10970,11970,43910,56740,35160,138080,14000,14300,16130,27680,10360
19/01/2023,37040,25760,10970,11970,40970,54830,34870,138080,14000,14110,16060,26980,10360
20/01/2023,39170,24170,10970,11970,40870,58310,35010,138080,14000,14310,16060,27680,10360
21/01/2023,40120,26890,10950,12050,40830,57370,35930,137450,14160,14070,16340,27240,10320
22/01/2023,37230,25310,10960,11970,40830,56260,35010,138080,14120,14170,16060,27430,10360
23/01/2023,38950,25500,10950,11840,41100,58550,35010,138080,14120,14240,16060,27430,10360
24/01/2023,39830,25760,10960,11970,43330,60430,35300,138080,14120,14240,16200,27430,10360
25/01/2023,40770,27380,10960,11970,43340,60920,35300,138080,14120,14480,16270,27430,10360
26/01/2023,40060,25050,10960,11970,44630,58660,35300,139280,14120,14240,16000,27430,10360
27/01/2023,40370,25260,10960,12040,43950,57530,35790,137810,14140,14280,16300,27350,10280
28/01/2023,40140,25230,10960,11970,42920,59900,35300,136810,14120,14480,16200,27430,10360
29/01/2023,41960,25830,10870,11970,44100,60550,35010,136810,14120,14300,15900,27310,10360
30/01/2023,39860,25840,10510,11970,42930,57830,35010,136810,14120,14300,16270,27430,10360
31/01/2023,43550,27010,10510,11970,42990,57850,34730,136810,14120,14300,16270,27430,10360
01/02/2023,45160,27800,10570,11980,39900,57030,35010,136810,14120,14420,16270,27430,10360
02/02/2023,44990,26340,10570,11970,43630,57720,35710,136810,14180,14300,16330,27370,10360
03/02/2023,45590,26570,11030,11960,43860,55860,34730,136160,14180,14540,15660,27370,10360
04/02/2023,45820,26570,11000,12020,43260,56600,34730,136160,14180,14540,16260,27370,10360
05/02/2023,45220,26340,11060,12020,43310,55040,35010,136160,14120,14540,16400,27430,10360
06/02/2023,45460,26570,11220,12210,44330,60340,35600,136810,14120,14540,17590,27370,10360
07/02/2023,46620,26670,11100,12150,46660,63030,35290,136810,14120,14540,16330,27300,10360
08/02/2023,44860,27050,11310,12210,46680,60130,35560,136810,14180,14540,16660,27240,10420
09/02/2023,43500,27440,11350,12280,46070,60220,35560,136810,14120,14970,16660,27240,10360
10/02/2023,42990,28040,11190,12030,45870,60880,35420,136810,14000,14610,16590,27240,10360
11/02/2023,42480,26820,11370,12210,44790,60340,35420,136810,14120,14540,16330,27240,10360
12/02/2023,42990,27200,11250,12220,44860,61060,35950,136810,14180,14540,16590,27370,10360
13/02/2023,39450,26820,11370,12280,44670,62350,35420,136810,14180,14540,16530,27240,10360
14/02/2023,37400,27180,11440,12410,45700,64900,35720,135550,14240,14470,16260,27240,10360
15/02/2023,38190,26700,11440,12350,44860,63330,35720,136810,14120,13890,15720,27370,10360
16/02/2023,36150,26820,11440,12350,48800,69130,35720,135550,14120,14350,16400,26860,10360
17/02/2023,36020,26820,11420,12360,52250,71110,35580,135550,14180,14470,16400,28040,10360
18/02/2023,36320,26690,11440,12390,49730,70540,35580,135550,14180,14230,16400,26990,10360
19/02/2023,35620,26820,11420,12390,50220,69560,35710,135550,14120,14170,16270,26990,10360
20/02/2023,34240,27310,11350,12280,51740,70480,35420,135550,14120,13410,16130,26740,10360
21/02/2023,33940,26440,11340,12320,49030,68470,35420,135550,14180,14040,16270,26740,10360
22/02/2023,36150,27840,11420,12360,50300,71790,35420,135550,14120,14100,16130,26990,10360
23/02/2023,34750,28140,11250,12250,50650,70520,35300,135550,14120,14040,16130,26490,10240
24/02/2023,35270,28230,11310,12430,48330,68530,35300,135550,14120,13980,16020,26490,10240
25/02/2023,34750,28230,11190,12240,48720,69910,35300,135550,14120,13910,16270,26490,10240
26/02/2023,34750,28510,11250,12190,48720,67270,35300,135550,14120,13910,16130,26490,10240
27/02/2023,34470,29250,11290,12190,45370,66600,35300,136810,14180,13970,16270,26610,10240
28/02/2023,33810,29010,11100,12190,44440,67890,35560,136810,14240,14030,16130,26610,10810
01/03/2023,33810,29120,11220,12190,44440,67140,35560,136810,14240,13970,16130,26300,10240
02/03/2023,34530,28730,11160,12390,40770,66740,35560,135550,14240,13910,15890,27610,10350
03/03/2023,34000,28290,11110,12310,41400,66230,34670,135620,14140,13980,15400,26480,10400
04/03/2023,34470,28840,11450,12080,40630,70810,35170,135550,14120,14100,15890,26300,10350
05/03/2023,34470,28270,11290,12460,42780,72680,35170,135550,14120,14040,16010,26600,10350
06/03/2023,35270,29270,11230,12460,42220,71700,35030,135550,14120,14640,16010,26490,10350
07/03/2023,36190,29670,11250,12390,40640,77850,34750,136810,14180,14100,16010,26490,10350
08/03/2023,35790,31900,11160,12390,42250,79090,34750,136810,14120,14570,15960,26560,10350
09/03/2023,35590,29650,11230,12460,44350,79800,34750,136810,14120,13850,15410,26750,10350
10/03/2023,35590,30490,11160,12390,42780,79000,34890,136810,14120,14140,15410,27000,10350
11/03/2023,34100,31710,11220,12390,46780,72550,34890,136810,14120,13970,15520,27240,10350
12/03/2023,35070,30550,11230,12460,42160,75940,35150,136160,14120,14090,15180,27230,10350
13/03/2023,35590,31100,11160,12520,43230,78040,34930,137430,14120,13850,15240,28390,10480
14/03/2023,35070,31620,11030,12070,41540,76790,36630,134200,14120,13850,15360,27990,10120
15/03/2023,34140,31350,11160,12220,40510,75520,36090,135550,14120,13970,15360,28040,10120
16/03/2023,35390,30810,11160,12220,40510,77420,36100,135550,14120,13730,15480,28350,10120
17/03/2023,34800,31370,11290,12530,42960,80000,35980,136810,14120,13970,15240,28980,10120
18/03/2023,34410,31370,11230,12530,42960,79320,36100,136810,14120,13610,15220,29230,10120
19/03/2023,34410,31370,11290,12530,43410,80610,35980,136810,14120,13910,15480,29230,10120
20/03/2023,34800,31620,11290,12530,43130,82430,36100,138710,14120,13730,15480,29360,10120
21/03/2023,35500,30430,11290,12410,39920,81840,35990,138620,14120,13610,15840,29480,10120
22/03/2023,36560,31370,11290,12350,40250,81840,36260,138620,14120,13730,15840,29360,10120
23/03/2023,36190,31020,11290,12350,40510,81180,36260,134820,14120,13850,15710,29610,10120
24/03/2023,35410,31300,11290,12410,43910,81220,36260,136720,14120,13670,15710,29490,10120
25/03/2023,33940,31070,11090,12270,47120,81800,35850,138620,14180,13730,15480,29860,10120
26/03/2023,34820,31550,11090,12270,43560,79120,35850,138620,14180,13730,15290,29860,10120
27/03/2023,33760,30140,11030,12270,39600,73320,35850,138620,14180,13730,15480,29730,10120
28/03/2023,33380,29620,10850,12270,38510,71450,35590,138620,14180,13730,15370,29360,10120
29/03/2023,33010,30380,10980,12220,36700,59330,35450,137990,14180,13730,15610,29490,10120
30/03/2023,33670,29440,10980,12270,36560,57520,35300,137990,14180,13850,15610,29360,10240
31/03/2023,34320,30720,10860,12350,39090,57050,35300,138620,14180,13790,15480,29230,10480
01/04/2023,34220,29900,11050,12410,38840,55920,35300,138620,14180,13600,15480,29110,10240
02/04/2023,33450,30030,10990,12410,37420,52670,35300,137340,14180,13850,15350,28990,10240
03/04/2023,33880,30140,11180,12410,35100,50730,35300,138620,14180,13730,15480,28610,10120
04/04/2023,33570,30140,11050,12350,35890,50710,35300,138620,14180,13610,15480,28730,10120
05/04/2023,34010,30720,10990,12410,35690,48920,35300,138620,14180,13730,15480,28480,10240
06/04/2023,33300,29620,11110,12390,33780,45110,35020,139910,14180,13730,15480,28230,10360
07/04/2023,33860,29620,11110,12220,34070,45930,35020,137340,14180,13730,15480,28220,10240
08/04/2023,33860,29730,11110,12340,34640,44960,35020,137340,14180,13790,15480,28220,10240
09/04/2023,32390,29060,11090,12340,33130,44780,34060,135360,14050,13790,15110,28060,10240
10/04/2023,32040,29980,11110,12340,34070,43160,35020,138620,14180,13790,15480,28220,10240
11/04/2023,31320,30300,11050,12340,33220,42210,35020,138620,14180,13610,15550,27840,10240
12/04/2023,33570,29470,11180,12660,35410,41320,35150,137340,14180,13730,15230,28100,10240
13/04/2023,33570,30290,11240,12660,35010,40430,35150,137340,14180,13850,15350,27490,10240
14/04/2023,35400,30630,10790,12830,35690,40050,35800,135550,14180,13670,15480,27490,10240
15/04/2023,35030,30370,11050,12590,33780,40050,35930,136810,14120,13730,15420,27300,10240
16/04/2023,34330,30160,11050,12520,35930,40640,36100,137430,14120,13790,15350,27240,10240
17/04/2023,35860,30880,10990,12450,39590,42500,35850,138620,14180,13850,15350,27670,10240
18/04/2023,37340,30990,10920,12560,43350,44200,36120,141120,14180,13980,15420,27480,10240
19/04/2023,39350,31730,11050,12560,44910,45330,37130,142340,14180,14170,15480,27740,10120
20/04/2023,39650,32180,10990,12380,49260,44670,38330,150970,14180,13980,15740,27620,10120
21/04/2023,41530,32460,11120,12450,50470,44670,38900,156100,14180,14100,15740,27680,10120
22/04/2023,40370,33390,11130,12390,51850,48680,40380,152910,13850,13910,15840,27630,10140
23/04/2023,40290,33960,10990,12450,52780,44760,39430,152510,14180,13860,15610,28050,10120
24/04/2023,40190,32110,11130,12300,49500,45370,39020,151300,14210,13990,15840,27850,10000
25/04/2023,42130,31840,11120,12450,46600,43470,38670,145430,14180,14100,15740,27490,10120
26/04/2023,43250,31020,11120,12450,37320,39600,37690,143500,14180,13860,15610,27230,10120
27/04/2023,41980,31620,11120,12510,35100,37620,37140,142440,14180,13860,15540,27480,10120
28/04/2023,40740,32240,11120,12450,31900,34310,37140,141790,14250,13800,15740,27490,10120
29/04/2023,39840,31130,11410,12310,31480,33300,37390,139820,14180,14030,15740,27360,10120
30/04/2023,39590,31360,11340,12310,32750,35150,36880,139820,14180,14090,15610,27360,10120
01/05/2023,39980,31490,11340,12310,31590,34640,36390,141120,14180,13730,15480,27360,10140
02/05/2023,40430,31900,11410,12310,32060,34820,36890,137990,14180,13730,15610,27490,10120
03/05/2023,39730,31330,11410,12310,30720,32120,36630,137340,14180,13670,15740,27800,10120
04/05/2023,39070,32140,11410,12310,30800,32120,36760,138620,14180,13730,15610,27550,10120
05/05/2023,39730,31880,11120,12630,29820,31700,36620,138620,14180,13730,15610,27620,10120
06/05/2023,40320,31270,11120,12630,29530,32750,36390,138620,14180,13730,15610,27860,10120
07/05/2023,40320,31610,11120,12700,30690,33300,36620,138620,14180,13980,15420,27860,10120
08/05/2023,40430,31250,11120,12630,31320,33500,36020,138620,14180,13730,15610,27860,10120
09/05/2023,42220,31940,11060,12630,33300,35770,36020,138620,14180,13730,15610,28300,10120
10/05/2023,41950,32560,10920,12570,33030,35410,35720,137340,14180,13920,15610,28860,10120
11/05/2023,42040,33200,11120,12630,34330,36700,35720,136720,14180,13980,15610,29480,10120
12/05/2023,42040,34040,11180,12690,33300,35190,36090,137340,14180,14400,15610,29490,10120
13/05/2023,40140,32650,11190,12630,33060,36700,36230,136720,14180,13980,15610,29730,10120
14/05/2023,40820,32930,11060,12630,32400,35990,35860,137340,14180,14030,15610,30090,10120
15/05/2023,41540,33380,11120,12690,31180,34910,35860,136720,14180,14330,15370,30850,10350
16/05/2023,39590,32190,11060,12690,31770,34970,36260,137990,14180,14200,15610,30960,10120
17/05/2023,40930,33200,11180,12750,31160,36640,36260,138620,14180,14170,15610,31480,10240
18/05/2023,40250,32390,11060,12630,31530,36230,36260,137340,14180,13970,15480,31480,9990
19/05/2023,40740,33980,11060,12690,30460,36870,36390,137340,14180,14030,15610,31360,9990
20/05/2023,40820,33650,11060,12700,29880,37800,36390,138620,14180,13800,15610,31480,9990
21/05/2023,40560,32460,11120,12630,30460,39190,36390,138620,14180,14280,15610,31360,10220
22/05/2023,40140,33600,11060,12630,29100,39740,36530,138620,14180,13730,15480,31840,10110
23/05/2023,40000,34300,11180,12770,29380,42590,37010,138620,14250,14090,15610,31670,10220
24/05/2023,39180,34820,11120,12630,29380,41580,36780,138620,14250,14030,15610,31740,10110
25/05/2023,39590,35500,11120,12640,31770,41470,37430,137340,14250,14030,15610,31610,10120
26/05/2023,40480,34360,11180,12700,30320,41460,37400,138620,14250,14030,15610,31490,10110
27/05/2023,40060,34420,11120,12700,30650,43500,37160,138620,14180,14280,15480,31490,9990
28/05/2023,39480,33940,11180,12700,31510,41350,37400,138620,14180,13900,15480,31610,10110
29/05/2023,41420,36230,11180,12830,30580,44150,37400,138620,14180,13540,15360,31610,9990
30/05/2023,40820,34720,11120,12830,30580,42930,37250,137340,14180,13540,15360,31560,10110
31/05/2023,40820,35520,10990,12690,30580,42310,37250,137340,14180,13540,15360,31490,9990
01/06/2023,40060,34720,11210,12770,31180,42930,36630,137340,14180,13670,15480,31370,9990
02/06/2023,40560,35270,11150,12830,30910,42770,36630,137340,14180,13540,15360,31120,10110
03/06/2023,39230,34640,11120,12710,31180,43550,36260,137340,14180,13790,15360,30990,10110
04/06/2023,40000,34940,11180,12770,31180,43630,36490,136160,14180,13790,15360,30860,10110
05/06/2023,39670,34720,11180,12770,31070,41530,37530,137340,14180,13850,15360,30860,9990
06/06/2023,39260,33980,11180,12770,32130,43270,37110,137340,14180,13790,15360,30610,9990
07/06/2023,39730,33650,11300,12770,32130,41530,37110,137340,14180,14030,15360,30870,10110
08/06/2023,39730,33650,11180,12830,32130,41870,37530,138620,14310,14030,15360,30610,10110
09/06/2023,38820,33500,11180,12770,31510,41870,36490,138620,14180,13790,15480,30360,10110
10/06/2023,39840,33650,11180,12770,32670,42920,37760,138620,14180,13850,15360,30360,10220
11/06/2023,39730,33430,11180,12770,32000,42220,37760,138620,14180,13790,15470,30360,10220
12/06/2023,39260,34180,11120,12770,31930,40070,37760,138620,14180,14030,15090,30360,10110
13/06/2023,39730,34180,11120,12640,31240,41260,37760,138620,14180,13850,15360,30360,10110
14/06/2023,39730,34180,11120,12640,31850,40280,37480,138620,14180,14030,15360,30230,10110
15/06/2023,39730,34300,11120,12770,31400,40330,37760,138620,14180,13850,15360,30230,10050
16/06/2023,39730,34300,11120,12710,30800,38570,37760,138620,14180,13790,15360,30110,10220
17/06/2023,39730,33520,11070,12770,31400,39660,37760,138620,14180,13790,15360,30230,10340
18/06/2023,39730,34300,11190,12770,31850,39760,37760,138620,14180,13790,15360,29860,10230
19/06/2023,39260,35850,11130,12770,30220,37720,38650,138620,14180,13670,15480,30110,10560
20/06/2023,38510,34300,11240,12890,31400,38340,38080,138620,14180,13790,15360,30110,10340
21/06/2023,40000,36700,10990,12500,29960,39660,38170,137340,14180,13790,15120,30110,10230
22/06/2023,39340,36560,11050,12450,32320,38470,38870,137340,14300,14260,15120,29860,10110
23/06/2023,38690,36230,11050,12450,31510,38380,37580,137340,14180,13790,15240,30120,10230
24/06/2023,39340,36690,10870,12380,32040,39120,39180,137340,14180,13790,15240,30120,10230
25/06/2023,40590,35860,10960,12320,33590,38950,39070,137340,14180,13790,15240,30370,10230
26/06/2023,39260,35860,11120,12700,35930,38050,39730,137340,14180,14030,15240,30110,10340
27/06/2023,39920,37800,11220,12890,39260,38690,41200,139820,14250,13790,15240,30490,10230
28/06/2023,41110,38040,11180,12830,39920,38840,41600,141030,14180,14170,15350,30500,10110
29/06/2023,39580,38420,11120,12700,41000,40590,42210,139820,14180,14040,15240,30560,10220
30/06/2023,39670,37720,11120,12700,39670,38590,41540,138530,14180,13790,15240,30430,9990
01/07/2023,39260,38130,11180,12830,40430,39550,42040,138530,14180,13790,15240,30430,10110
02/07/2023,39670,38130,11180,12950,40760,37970,41000,139820,14180,13790,15120,30430,10110
03/07/2023,40170,39520,11120,12830,39150,37290,39950,138530,14180,13880,15120,31680,10110
04/07/2023,38580,39980,11120,12890,37250,34710,40730,137340,14180,14260,15120,30800,10110
05/07/2023,39060,39190,11240,12830,36460,35120,41260,137340,14180,13790,15120,30550,10110
06/07/2023,37800,39220,11120,12760,36060,35560,41000,137340,13860,13790,15120,30610,10110
07/07/2023,36690,38000,11180,12830,35410,33270,40730,137340,14310,13790,15240,30610,10320
08/07/2023,36690,39910,11120,12830,35770,34120,40730,137340,14310,13790,15240,30740,10240
09/07/2023,36320,38900,11180,12830,36700,34040,40730,137340,14310,13790,15240,30740,10140
10/07/2023,35910,37760,11120,12830,33030,33800,40730,135970,14180,13670,15240,30610,10350
11/07/2023,35190,38660,11240,12830,33860,34430,40380,137340,14180,13900,15240,30500,10240
12/07/2023,35160,39730,11180,12830,34360,34780,40870,137340,14240,13790,15120,30620,10240
13/07/2023,35000,38410,11120,12830,33860,33800,39910,137340,14370,13790,15240,30620,10240
14/07/2023,34430,38730,11180,12830,34870,33710,39910,137340,14310,13790,15120,30750,10240
15/07/2023,33030,39210,11240,12830,34750,33330,39790,137340,14310,13790,15240,30740,10350
16/07/2023,33030,39150,11120,12760,34210,33070,40160,137340,14310,13790,15120,30740,10280
17/07/2023,33390,39120,11180,13010,34750,33230,40040,137340,14360,14000,15120,30740,10350
18/07/2023,31850,39330,11120,12890,31770,31770,40500,137340,14360,13540,15120,30870,10120
19/07/2023,30740,39230,11140,12880,32030,32030,40410,136970,14410,13480,15140,30850,10140
20/07/2023,30960,37710,11180,12890,32040,31790,40110,137340,14360,13540,14990,30870,10240
21/07/2023,30650,37710,11180,12890,31510,32400,40110,137340,14360,13770,15240,30740,10350
22/07/2023,31160,38340,11120,12890,31180,31240,40000,134720,14360,13660,14990,30740,10220
23/07/2023,30910,37940,11120,12890,31180,32040,39860,137340,14360,13660,15120,30740,9990
24/07/2023,30960,37710,11120,12890,31180,32130,39280,137340,14360,13540,15120,30870,10220
25/07/2023,30060,39090,11120,12950,30380,35410,39010,137340,14490,13420,15120,30870,10110
26/07/2023,31510,38340,11120,12890,31510,35410,39010,137340,14360,13540,15120,30740,10220
27/07/2023,31790,38010,11120,12890,32810,34600,38500,137340,14360,13910,15120,30870,10220
28/07/2023,31560,38340,11180,12890,31180,35010,37940,137340,14360,13660,15120,30870,10220
29/07/2023,31840,39090,11180,12890,31790,34470,37940,137340,14360,13770,15060,30870,10240
30/07/2023,31160,38100,11240,12890,31790,34240,37940,137340,14360,13540,14870,30870,10240
31/07/2023,31240,38100,11120,12890,33030,35010,37940,137340,14360,14100,15120,30990,10350
01/08/2023,31240,38590,11120,13010,34240,39740,37660,137340,14360,13420,15120,31370,10120
02/08/2023,30740,38670,11140,12950,35570,38460,37340,136970,14410,13480,15140,31200,10140
03/08/2023,31510,38190,11120,12960,35500,39660,37660,137340,14360,13660,15120,31170,10350
04/08/2023,30380,38160,11240,12960,34910,38980,37400,137340,14420,13660,15120,30990,10350
05/08/2023,30380,37460,11240,12960,34140,37680,37960,137340,14420,13660,15120,30800,10120
06/08/2023,30380,37460,11240,12960,35390,38180,36790,137340,14150,13660,15120,30920,10400
07/08/2023,29130,38590,11300,13020,33860,40310,36180,137340,14360,13630,15120,31050,10240
08/08/2023,29380,37550,11040,12900,34910,39430,36790,137340,14420,14010,14990,30800,10120
09/08/2023,28720,36270,11240,12620,32950,38780,34690,134720,14150,13620,14730,30220,9990
10/08/2023,29960,36610,11360,12960,33030,39060,37400,137340,14420,13620,15060,30480,10350
11/08/2023,29130,37950,11420,12960,30880,40170,37400,137340,14490,13880,15120,30480,10180
12/08/2023,29960,36610,11360,12960,35590,39700,37400,137340,14420,13940,15120,30610,10350
13/08/2023,29380,36830,11300,12830,34820,39080,37400,137340,14420,13880,15060,30480,10350
14/08/2023,29130,36250,11300,12960,35100,40430,37400,137340,14550,14260,15120,30480,10350
15/08/2023,28410,35540,11300,12780,36190,43150,37660,137340,14420,13890,15120,29970,10240
16/08/2023,28680,36600,11420,12710,35500,43250,37900,137470,14420,13940,15120,30040,10350
17/08/2023,29530,36470,11230,12710,35620,41760,37900,137340,14420,14000,15060,29970,10350
18/08/2023,28970,36470,11420,12710,35960,41860,38180,137340,14360,13940,15120,29730,10350
19/08/2023,28320,36390,11360,12710,36320,42080,38180,137340,14230,13940,15060,29730,10350
20/08/2023,28460,36700,11360,12710,37200,43730,38180,137340,14190,13940,15120,29600,10350
21/08/2023,28170,36840,11420,12710,38790,42770,37690,137340,14360,14000,15060,29210,10350
22/08/2023,25990,36940,11420,12770,39150,43920,37690,137340,14360,13880,15240,28600,10240
23/08/2023,25680,36940,11550,12840,39840,42090,38190,138620,14360,13890,15240,28850,10120
24/08/2023,25900,36940,11490,12840,40370,42590,38190,138620,14360,14010,15120,28600,10120
25/08/2023,26920,36230,11600,12840,40700,38600,38070,138620,14150,14000,15240,28850,10350
26/08/2023,26080,36410,11550,12820,39920,39130,38380,138420,14270,13870,15210,28690,10400
27/08/2023,25260,36790,11550,12820,41520,38790,37650,138420,14100,13870,15140,28540,10140
28/08/2023,25460,37950,11600,12900,40970,38220,37690,138620,14360,13880,15060,28220,10120
29/08/2023,24750,36070,11600,12970,42990,38130,37940,138620,14270,13880,15060,27960,10120
30/08/2023,25100,37070,11830,13200,41720,39050,37940,138620,14420,13820,15060,27600,10250
31/08/2023,23820,36460,11830,13120,44630,38280,37940,138620,14490,13570,15060,26320,10240
01/09/2023,24970,35320,11840,13000,40510,37550,37940,138620,14210,14000,15060,26690,10350
02/09/2023,26020,37250,11840,13000,42000,38280,37690,138620,14420,13750,14990,26570,10220
03/09/2023,24970,36000,11780,13000,40450,38470,37690,138620,14490,13750,14990,26570,10220
04/09/2023,24070,35790,11900,13330,39260,36800,37070,138620,14490,13690,15060,26220,10220
